IID	PC1	PC2	PC3	PC4	PC5
tsk_598	1.3994786	-0.74685013	-5.549064	0.38693452	-0.746957
tsk_602	9.105347	2.2418368	-4.0176067	0.15088631	-0.24582335
tsk_610	-2.780663	3.166373	-3.6817052	1.3208431	0.67764825
tsk_611	-2.197194	1.1702211	-0.6395396	-1.2751682	-0.26426083
tsk_616	-1.3090434	0.22679871	-0.7977146	0.6526847	-4.2327685
tsk_619	-3.197978	1.5403111	4.3733697	2.1520793	1.9230736
tsk_620	-2.8540375	-0.2561813	-0.54954344	-0.6589124	1.8706636
tsk_621	-1.4341711	-1.4151164	-3.9464114	-3.7728176	-0.53439087
tsk_635	0.1899688	1.7454535	0.06558152	-2.8730302	-4.2116365
tsk_638	-2.3684561	1.7014607	0.8877826	-0.017748747	1.612265
tsk_641	-2.1609702	2.3012958	-0.4310494	-0.8991953	-1.3243793
tsk_672	7.1601534	-1.99145	-2.24176	-1.9247009	-0.7824134
tsk_680	8.852194	0.31365088	-0.8582549	-1.4790604	0.33811885
tsk_682	-0.53647983	1.0317383	-1.2619677	-0.2479896	-2.9263892
tsk_683	-1.7820023	2.0075693	-1.9201406	1.7925857	3.873531
tsk_693	-4.0239844	-0.28649604	-4.6178975	-0.2885742	0.39086565
tsk_694	-2.5051794	0.89661634	-4.615306	0.038373277	1.1760864
tsk_704	-1.5758886	-1.9605438	1.3613341	-1.9865055	-6.471955
tsk_707	-0.115580775	3.4558792	-3.4283042	0.8517254	0.14040564
tsk_718	-3.737893	1.864817	-1.3437263	0.2305456	-1.8659806
tsk_724	-0.9931305	-5.497926	2.2943113	2.906509	0.3308526
tsk_748	-2.748084	0.8863452	4.6617475	3.3299067	0.4365308
tsk_749	-3.660208	2.834375	1.3600502	-0.60859746	3.4964414
tsk_751	9.372943	0.8191664	-1.2822882	-2.3358822	-1.6029598
tsk_752	-0.60040045	-0.93979686	-3.0490665	0.6605301	-3.1687722
tsk_756	-0.53511083	3.5295546	4.9921	-1.937619	-1.3005347
tsk_757	1.7522178	1.6851165	2.0097978	1.9021372	-0.70581496
tsk_759	-0.49764806	5.668532	2.3662126	-3.2096305	-1.1611475
tsk_767	-0.77091056	-2.875387	-5.560169	-1.8675433	-1.9814854
tsk_776	-3.6910584	-0.40748772	2.2764053	3.9527166	1.5425823
tsk_777	-3.184273	-5.2379866	4.274522	3.2020183	-0.67649174
tsk_778	-0.5302501	1.5481688	-1.3101873	-2.413478	-2.9536662
tsk_785	-1.1176238	-4.9267726	-1.5438749	-0.4876777	0.32014155
tsk_787	-3.6233604	1.2989482	-0.25833598	1.2972676	-1.0013455
tsk_794	-0.8288045	2.0368886	0.19670893	-2.169769	-3.52014
tsk_795	1.7362748	1.8201786	1.7378299	-2.7187018	-3.8870156
tsk_797	-2.537215	3.38167	-0.19845904	1.6148565	-1.5388743
tsk_799	-2.6769097	2.2660701	3.400129	-1.0069332	-3.6174428
tsk_1242	-3.6596782	3.8065205	-0.7667905	-2.5646026	0.5258122
tsk_1263	0.6675782	-0.6399134	-2.501242	-2.0038629	-2.4754663
tsk_1267	-0.6019731	0.74414176	4.1811957	3.3508258	-0.3315731
tsk_1282	-1.834109	3.2435331	-0.40956163	-2.2238667	3.3221664
tsk_1316	-2.0734363	1.6941699	1.552993	-2.0997186	2.5741975
tsk_1324	4.700931	0.7597933	2.2488801	3.2848535	3.224717
tsk_1328	-1.1846334	-2.13584	-1.2565216	-0.4991108	-4.6491404
tsk_1329	-1.709312	1.789238	-0.54855806	-1.0560567	2.215594
tsk_1331	-3.336229	1.022307	3.9632044	-0.48551157	-1.7451717
tsk_1333	-1.9258112	-3.1964355	0.255631	-3.3477821	-0.21328638
tsk_1350	-2.617319	-0.727529	-1.7885548	-0.16097115	-2.4982412
tsk_1382	-3.8396513	2.1585164	-1.1109082	-5.3941517	-1.0651153
tsk_1383	1.6157056	-3.953365	2.6672778	-0.03313075	-0.80987483
tsk_1389	-0.4607499	0.42506182	0.77691156	-0.97087866	0.74357146
tsk_1395	-1.0058337	-0.25430456	-2.9593449	-1.2072939	4.6324925
tsk_1415	-4.034837	3.762171	-1.9488642	-2.1954048	3.2171504
tsk_1418	-2.3871737	-1.3114607	-5.696399	1.6475954	-3.4871087
tsk_1422	-1.5028807	-0.7380194	2.0530913	-2.2676744	2.829071
tsk_1452	-1.963128	1.6496339	-4.269239	1.3044242	2.1446104
tsk_1453	-3.8760788	1.7321994	-1.2862524	-1.7432045	-2.075578
tsk_1455	-3.90827	4.9463553	-3.5118172	0.7699647	4.457817
tsk_1463	-3.7720687	2.2355745	-0.24781686	-0.7021332	-0.65342134
tsk_1499	-3.3991303	2.5432212	3.8785348	-2.632036	-2.1734457
tsk_1500	-3.0441668	-2.4902213	-4.8841395	1.6526151	0.25362942
tsk_1522	-0.32591233	-2.4130535	-0.6553571	2.174411	-2.3127825
tsk_1531	-3.603216	3.237547	1.2482592	0.99423856	2.3200612
tsk_1533	-3.3145552	-0.38358855	-0.6171959	-1.7935628	-1.3183801
tsk_1534	-2.3579988	1.322052	-1.158772	3.3718286	-2.5039349
tsk_1536	-4.0409737	-0.536117	0.6897153	-2.693605	-1.4392346
tsk_1538	-3.3865001	4.2240143	-3.5197635	-2.2392905	0.20952493
tsk_1546	-4.202871	3.7789736	-0.76369286	-2.7474947	-1.3785107
tsk_1550	-3.3117194	1.9288658	-0.6927808	1.1990926	0.4228616
tsk_1631	-2.3926518	-1.9609294	3.0918221	-4.339282	-0.7492124
tsk_1646	-1.8891916	-1.7776366	1.8560083	-1.3084797	1.2930177
tsk_1660	-0.41050994	-5.4681535	4.567545	0.02051942	3.177171
tsk_1662	-1.4947561	-3.5361764	2.0059187	-5.503967	3.035021
tsk_1733	-1.9700044	-4.0040708	1.6836907	-2.7416928	3.647905
tsk_1797	-3.4533947	1.8485464	-0.24922538	0.65063405	-0.7611869
tsk_1809	-2.1727316	-3.8642964	5.4445877	-3.426198	2.87285
tsk_1823	-1.5154744	-0.7847948	-1.041734	-1.1898491	3.6891105
tsk_2073	10.959435	0.70074785	-0.27453437	0.2425039	0.046463877
tsk_2074	7.7466087	1.9466473	1.7177467	3.5618362	0.3437665
tsk_2078	9.912743	-0.3916817	0.34956315	-1.7537374	-1.6623918
tsk_2085	9.710258	-0.40816194	0.09404778	0.3129778	0.937835
tsk_2115	8.527582	-1.1613128	-3.4607937	-1.0238171	-0.6990805
tsk_2116	8.553311	-1.8714343	1.4076222	-1.0739499	-0.8530091
tsk_2118	10.161455	-1.3178761	-0.16515699	-0.87995684	-1.0977404
tsk_2120	10.354171	1.7695699	-1.263939	2.2375116	0.19682132
tsk_2124	9.676909	-0.20412122	1.3095106	-2.5111594	-0.26834783
tsk_2126	8.335745	0.8321937	0.83145076	-2.1273673	-0.2637264
tsk_2132	8.713654	0.23349866	-1.9624164	7.5034064E-4	0.056421347
tsk_2136	8.889209	-1.1201462	0.75676894	2.3440273	-0.19361232
tsk_2138	8.069138	0.095889986	-0.40935022	-0.29639116	0.34238327
tsk_2148	9.283479	3.1020575	0.28489915	0.7805072	1.2190486
tsk_2149	10.55911	1.4769992	1.1951755	1.4163412	-1.1134312
tsk_2155	9.427161	0.6880318	2.0725858	0.9054957	0.4616518
tsk_2158	9.468618	0.74582744	2.220419	-0.9129827	0.8618825
tsk_2160	10.39933	1.0641706	0.20544443	1.0148298	0.7730809
tsk_2169	8.369147	4.0256925	2.2447813	-0.6639644	1.5300916
tsk_2180	8.753624	2.7237613	2.043663	-0.19663621	0.3560636
tsk_2183	10.056802	-0.14614168	-0.8508363	1.7743064	1.0319966
tsk_2186	8.332157	1.3083189	-1.831101	0.50376123	-0.13889742
tsk_2188	9.67652	0.9624751	-0.8110284	-1.6381572	-0.2133639
tsk_2204	9.570553	1.2904726	-1.7230185	0.20005625	-0.46609172
tsk_2205	9.395339	2.0349917	2.338526	3.0713086	0.58639085
tsk_2206	8.212281	3.402786	0.6207075	0.15156417	1.7760556
tsk_2210	9.006951	1.5967171	1.1299025	2.8885553	-0.4233468
tsk_2211	9.313961	1.716072	-0.7481267	-1.390658	0.34038422
tsk_2218	9.5186	2.1161406	-1.1915228	2.3275528	0.14456163
tsk_2227	9.7220125	-0.12733375	1.1416804	1.8000454	0.35320607
tsk_2232	8.677808	2.4246223	-1.2693672	-1.8869236	-1.0610157
tsk_2235	9.771016	-0.8314612	-1.6794292	-1.5172065	-0.9404983
tsk_2244	9.632875	0.6577875	-0.24398391	-0.87444335	-0.43809405
tsk_2251	8.547063	1.4743276	-0.57528645	3.4243014	1.628932
tsk_2253	8.806061	0.67764133	1.2270627	1.4472604	0.21332018
tsk_2259	9.2273	1.5377375	2.04633	-1.6795914	-0.19477972
tsk_2266	9.425248	2.4129274	1.0961692	2.7463057	0.31585023
tsk_2281	9.53375	1.3354076	2.100142	1.0620964	0.6151945
tsk_2292	10.747906	0.7416141	0.63155437	0.106004484	0.17156737
tsk_2620	-1.3327448	-0.6240263	-3.674526	1.1206708	-0.9399931
tsk_2635	-3.514576	4.8142037	4.60925	-2.9065726	-0.80281955
tsk_2640	-3.5641053	-0.31292155	-0.29813716	-0.1039035	-0.90500796
tsk_2651	-4.257844	0.7768622	4.469322	0.05475705	-1.7312735
tsk_2655	-3.246975	-0.7708825	4.25105	-1.1365074	-2.8413584
tsk_2656	-4.377708	-3.406516	2.3371687	4.062355	-2.4538126
tsk_2661	-3.5899217	1.1431764	0.7309095	1.0398852	1.5983312
tsk_2666	-1.2986318	-2.1586132	-1.7416214	4.4044127	0.914437
tsk_2679	-1.9111512	2.9965837	-0.6439399	0.16258444	0.480408
tsk_2709	-2.5566356	2.6473157	0.28774658	3.8338425	1.3946111
tsk_3137	2.417064	-1.7468795	-1.9168891	-1.4756016	-2.004847
tsk_3140	-2.7543447	-1.8920821	3.322384	-4.8541574	0.8333332
tsk_3145	-0.4834229	-4.1863155	3.6304317	-0.31062588	0.96134174
tsk_3163	0.24717425	-5.552369	1.4237412	0.830256	1.7233595
tsk_3168	-2.2553594	-1.4326879	0.4211573	-0.13611722	1.5432813
tsk_3169	-1.1388731	-3.90186	-0.7490474	-2.509925	-0.3873945
tsk_3175	-2.2060568	-6.439611	-1.0413237	0.53191876	1.3148273
tsk_3184	-1.5509129	-5.829695	2.5173776	-2.6544735	-0.018366514
tsk_3186	-0.93845433	-3.7677894	5.876873	-2.1537442	5.306646
tsk_3193	0.24721628	-2.096959	-2.0295613	-1.7066886	3.2911777
tsk_3199	-1.7147259	-4.4285426	2.200582	-4.660127	-0.6006588
tsk_3201	0.26603323	-7.043498	-0.52334917	-0.5543603	1.9320472
