IID	PC1	PC2	PC3	PC4	PC5
tsk_2149	3.8627055	-2.208128	-0.9023777	-1.5748172	1.7137805
tsk_2155	2.7152772	-1.8305322	-2.0607224	1.2806226	0.08373305
tsk_2158	0.92938167	-2.7073646E-4	-2.6789463	0.33261597	0.44974348
tsk_2160	3.7164588	-1.6360496	-0.74639577	-0.7766894	-0.6393745
tsk_2169	3.8166156	-1.3299764	-1.0895606	2.1427162	0.044507977
tsk_2180	4.490053	0.4989115	1.2168632	-0.9074059	-0.037031982
tsk_2183	4.0098433	-0.6889274	-0.538693	1.66456	-0.6359172
tsk_2186	2.989962	0.0049342583	-2.5762115	-0.9995014	0.94560134
tsk_2188	3.473023	-3.1282096	0.2716824	-1.1119576	-2.2552805
tsk_2204	2.717244	-0.4216543	-0.17511098	0.38463798	-1.9212327
tsk_2205	1.9720902	-2.5501199	-1.3154583	1.1594511	-0.92099935
tsk_2206	2.3712027	-2.6908703	-0.5584348	1.3753741	0.3743746
tsk_2210	4.694193	0.10584332	0.013892906	0.09360703	-0.06843351
tsk_2211	2.4116971	-0.25077143	-2.3534362	0.82023716	-0.84245026
tsk_2218	3.6427944	-1.0897968	-1.259916	1.5544246	-0.5357139
tsk_2227	3.2059438	0.11816644	-2.6140103	-0.02339591	-0.718291
tsk_2232	3.8903923	-0.8280573	-1.4083395	-3.6909142	-0.17099598
tsk_2235	3.6558456	-1.1031344	-1.0339181	1.0698923	-0.14406896
tsk_2244	3.3968894	-1.7831655	-0.806876	1.2277586	0.28953746
tsk_2251	3.1112366	-0.4708359	0.06396532	-2.2487736	-1.3473263
tsk_2253	2.836399	-1.4942452	-1.8505499	1.8303887	0.11479092
tsk_2259	2.751696	-0.85049254	-0.06693342	0.14213595	-0.48648822
tsk_2266	2.9466338	-1.9806588	-1.026709	-0.19348902	-1.6299744
tsk_2281	0.16474926	0.06693924	-1.5851249	-0.41174918	-1.5363992
tsk_2292	3.8697786	-0.28436428	0.20951667	0.25933653	-2.9377968
tsk_2620	-2.119926	-1.7414912	1.8220705	0.8355302	-2.8117802
tsk_2635	1.9907291	3.3728437	4.7821116	-2.5029943	-0.5118081
tsk_2640	-1.6326278	-0.3183267	-2.1878753	-0.7966781	-0.37000197
tsk_2651	0.21626133	0.48352426	-1.7861607	-2.1561334	1.3688251
tsk_2655	-2.5518832	-1.120934	1.1481996	-1.4333963	-1.6937852
tsk_2656	-1.336566	-1.075534	0.5270935	-2.6260126	-3.5872762
tsk_2661	-2.4914417	-0.21836364	-0.47356072	-3.7454484	-1.1075916
tsk_2666	0.24038322	-0.5241092	1.5448506	-4.0432563	-0.8163093
tsk_2679	-2.4601424	-3.4903693	0.20958844	0.9924483	-1.5972588
tsk_2709	-1.6743841	-0.6143534	-0.6334374	1.5864148	-1.2949787
tsk_3137	-0.602694	2.4996367	-2.7154245	2.24591	0.40765956
tsk_3140	-0.461559	-1.7390221	-2.0404003	-0.67360735	0.9217811
tsk_3145	-0.52845883	-0.8519097	1.909454	-1.4879968	0.19430907
tsk_3163	-1.9785869	-1.8076725	-2.0851636	-1.5783316	1.4348428
tsk_3168	-0.8338907	1.6765741	1.40907	1.6685355	1.4816023
tsk_3169	-1.9981527	-1.0116568	-1.6847713	-0.494336	1.4984273
tsk_3175	-1.5711379	-4.841068	-1.0372324	-1.290186	2.6874652
tsk_3184	-3.4256938	-0.4379427	-0.8520417	0.45555195	2.6604822
tsk_3186	-4.348311	-3.8377972	0.6061163	0.5042145	1.3599395
tsk_3193	-0.9701946	0.24288698	0.71130997	0.95752335	2.7598696
tsk_3199	-0.9466496	-1.4261768	0.6244836	1.2242603	1.817379
tsk_3201	-2.574152	-1.5060601	-1.873032	-0.17343523	2.784723
