IID	PC1	PC2	PC3	PC4	PC5
tsk_2148	1.6790079	-0.45590016	-0.31270435	1.5770543	-0.8395408
tsk_2149	-1.1656849	-0.88244534	-0.12426969	1.0992023	-0.42411795
tsk_2155	1.8364375	2.100625	3.4535322	1.4559456	-0.6481368
tsk_2158	-1.2656897	-0.8559721	-0.15245497	1.1570401	-0.5231413
tsk_2160	1.705349	-0.21046948	-0.40883207	1.7075162	-0.4750846
tsk_2169	-1.5671405	1.9863709	3.957873	1.1504867	-1.0471377
tsk_2180	-1.2806866	-0.27343234	0.61779886	0.9547351	-0.4090572
tsk_2183	1.7964302	-0.5526296	-0.2589393	1.3185863	-0.55788714
tsk_2186	-1.2526991	-0.6491326	-0.15723519	0.68778014	0.2044417
tsk_2188	-1.2350235	-0.89625955	-0.15554267	0.82197595	-0.09249847
tsk_2204	-1.2182693	-0.79833704	-0.18399884	0.9376613	-0.23527756
tsk_2205	-1.1996205	-0.44453457	-0.3691017	1.7568786	-1.231912
tsk_2206	-1.1873076	-0.83065915	-0.16060857	0.7745555	-0.21614347
tsk_2210	-1.1223468	-0.86629146	-0.12996931	1.1448753	-0.49273774
tsk_2211	-1.2216562	-0.58470607	-0.3553559	1.0417726	-0.53404385
tsk_2218	-1.5325655	2.1738904	3.8078442	0.57827747	-0.3289607
tsk_2227	-1.0589882	-0.96911865	-0.040412597	0.28935668	-0.007766141
tsk_2232	-1.2131033	-1.0618283	0.011338013	1.4962792	-0.7664467
tsk_2235	-1.2482114	-0.8046944	-0.20722334	0.9101174	-0.3421045
tsk_2244	-1.3261716	-0.9084764	-0.116822764	1.5983311	-1.0205585
tsk_2251	-1.1487788	-0.7494707	-0.027079219	1.0053067	-0.26157314
tsk_2253	1.7308985	-0.3390981	-0.338648	1.2583334	-0.07001635
tsk_2259	-1.2319123	-0.73483735	0.16289397	0.6716534	-0.74948645
tsk_2266	-1.1823858	-0.58180845	-0.36906418	1.1638479	-0.14222366
tsk_2281	2.7970736	-0.32163188	-0.2181356	1.1248945	0.05081572
tsk_2292	1.7980152	-0.6558802	-0.0688212	1.4546839	-0.377851
tsk_2620	-1.4682183	1.8212279	-1.9827613	0.24213438	0.55479234
tsk_2635	-1.7002035	4.6137624	2.1338682	0.19674507	0.22678307
tsk_2640	2.3249314	4.885755	2.228109	-0.02963546	0.3713665
tsk_2651	-1.7125236	4.6134152	2.1883512	-0.36884993	0.47709957
tsk_2655	2.2985494	5.0514154	2.2993448	0.15710574	0.5094264
tsk_2656	6.321578	5.3540525	2.4166594	0.5025929	0.4247787
tsk_2661	-1.4346697	1.4982425	-1.6992548	0.5805333	0.22365902
tsk_2666	2.588756	2.0086298	-1.7022011	0.78192425	0.4541563
tsk_2679	-1.6697915	4.611593	2.226798	0.06542721	0.6007416
tsk_2709	-1.7208982	4.608149	2.2599943	-0.26222998	-0.18446982
tsk_3137	-1.3686538	1.8573974	-2.0942469	0.16772942	0.6186653
tsk_3140	-1.550576	4.9974537	1.6074483	-1.1191518	0.06816187
tsk_3145	2.8389015	2.127647	-2.0759594	-0.21441628	-0.07413825
tsk_3163	3.4871364	2.4752579	-2.3343816	-0.3114511	-0.5666742
tsk_3168	-1.7957102	5.0920434	1.6175985	-0.13434263	-0.3208198
tsk_3169	-0.5258219	2.2827487	-2.342837	-0.6235044	0.004459884
tsk_3175	-0.84638834	2.3957422	-2.1972866	-0.4312514	0.001366307
tsk_3184	-1.2488565	1.9298526	-2.3011897	-0.46246442	-1.3960594
tsk_3186	-1.1893938	3.0922773	-1.612739	-0.70027995	-0.230149
tsk_3193	-1.1579667	1.9220068	-2.2478406	-0.40801004	-0.3272402
tsk_3199	-1.2654378	2.2094858	-2.4326882	-1.0544525	-0.7776435
tsk_3201	3.3711796	2.5917532	-1.9535285	0.28934127	-0.19436839
