IID PC1 PC2 PC3 PC4 PC5 POPULATION
tsk_680 16.287159 -0.6477794 -0.06716587 0.45799422 1.6688908 MAN
tsk_682 -1.8876668 -4.7787147 -0.20430145 -0.40937713 -6.87555 MZB
tsk_683 -5.270982 -5.665779 -2.4468746 0.0344333 -0.534947 BAS
tsk_693 -7.032341 -3.8821352 -4.419575 5.288432 1.8416543 BAS
tsk_694 -4.759945 -4.2982383 -6.867313 5.877107 -3.0957718 SAR
tsk_704 -3.799404 -5.7341495 1.9796265 -5.813387 -3.0593226 BAS
tsk_707 0.039009232 -6.69321 -1.5522821 2.1786497 -5.4902973 MZB
tsk_718 -7.1191993 -4.5366406 -0.67490995 -0.39845285 -1.96176 BAS
tsk_724 -1.8674383 6.091809 2.3845487 3.6821165 -1.9587665 PTH
tsk_748 -4.4712067 3.1698217 10.733091 1.5988407 -3.0812492 KLS
tsk_749 -6.709959 -1.5471193 -2.2825255 -3.3939342 0.6976723 BAS
tsk_751 16.223621 -2.3097613 -2.5570385 -0.9688113 -0.028685803 MAN
tsk_752 -1.8134983 -5.121568 -3.7492852 -1.4350706 -3.2559447 MZB
tsk_756 -1.1750308 -2.923236 4.5948534 -7.476768 -6.7486534 MZB
tsk_757 3.9901109 -3.975452 2.606937 -5.776813 -0.17772992 MZB
tsk_759 0.46379519 -5.406851 2.0159736 -8.631756 -3.553058 MZB
tsk_767 -5.3693438 -2.7891357 -7.5668874 2.3109314 -2.1933396 BAS
tsk_776 -5.9474773 3.3593748 11.027938 6.194929 0.73972213 KLS
tsk_777 -4.9464226 5.873777 8.080267 5.4147453 -1.7092838 KLS
tsk_778 -1.5898737 -6.721681 -2.8514388 -2.36278 -3.939763 MZB
tsk_785 -3.5259912 5.0197153 -0.20212488 5.4506297 -4.1250353 PTH
tsk_787 -5.7823772 -5.8295226 0.40761212 0.42696562 -5.6730585 SAR
tsk_794 -2.885706 -4.077183 -1.7069765 -3.087388 -2.3993673 MZB
tsk_795 0.5364522 -5.481498 0.0071490733 -5.2305536 -8.868752 MZB
tsk_797 -3.7324004 -5.798692 -1.247803 -1.6606339 -5.0178375 SAR
tsk_799 -3.0229733 -5.4305387 4.202741 -6.017728 -6.357799 MZB
tsk_1242 -4.884076 -4.095717 -1.8565449 -1.8742619 0.4955517 PUR
tsk_1263 1.2871963 -3.1584325 -4.262994 -0.77805275 -3.5355265 PUR
tsk_1267 -1.1657431 0.29868805 7.9828377 -2.238902 -2.2510931 PUR
tsk_1282 -2.9013019 2.1751268 -4.751601 -0.90811676 6.091912 PUR
tsk_1316 -1.5803235 0.84542614 0.9916968 -3.8542824 -0.19230819 CLM
tsk_1324 8.7751045 4.1925073 1.376717 -0.051977918 -1.9693216 PUR
tsk_1328 -4.235384 -1.885226 -1.2714344 0.40452904 -7.0429463 PUR
tsk_1329 -3.8897579 -1.8259165 -2.7595797 -0.671089 -0.7056749 PUR
tsk_1331 -4.491123 3.8950803 2.8558059 -8.15338 -4.3147335 PUR
tsk_1333 -2.1973076 7.736062 -3.8204377 -3.5558221 -0.5390622 PUR
tsk_1350 -4.1737823 -0.42642605 -4.4559126 -3.044142 -2.2053661 CLM
tsk_1382 -4.3320327 -1.5623803 -4.644988 -1.5738783 -4.0666604 CLM
tsk_1383 -0.4946249 5.283512 1.0067444 -2.846446 -2.9107685 CLM
tsk_1389 -3.090025 6.667193 -2.5619886 -4.183933 2.3176298 CLM
tsk_1395 -2.657735 7.136685 -9.426726 -1.7026603 0.4918129 CLM
tsk_1415 -5.5633683 -5.2586865 -1.7698708 0.061229356 2.2740457 CLM
tsk_1418 -4.9754424 -0.5854741 -6.8036494 3.7132878 -2.8542762 CLM
tsk_1422 -4.1572533 10.487698 -3.2048485 -5.1474276 0.878526 CLM
tsk_1452 -4.2895474 -4.3110967 -4.704846 0.84620327 -0.021632267 IBS
tsk_1453 -5.2067423 -2.7858374 -3.5369942 0.89535147 1.0064436 IBS
tsk_1455 -3.9868875 -5.816488 -4.5352345 0.4185552 6.098746 IBS
tsk_1463 -6.1415057 -1.8670715 -0.8206185 -2.3859882 3.5153048 IBS
tsk_1499 -5.2205186 -6.106834 3.65267 -7.21086 -2.9397316 IBS
tsk_1500 -4.902683 -2.9086657 -4.998824 5.5961227 0.076446906 IBS
tsk_1522 -2.9009347 -2.5873463 -2.0392833 1.6351887 -4.47736 IBS
tsk_1531 -5.4105353 -2.7318084 1.5516765 -3.3575819 1.08261 IBS
tsk_1533 -5.5269456 -4.268307 -1.5590202 1.6748117 -0.18585078 IBS
tsk_1534 -4.606289 -4.904412 -0.49762288 1.8129467 -1.639898 IBS
tsk_1536 -5.448762 -2.813832 -0.399888 -4.394622 2.6339488 IBS
